,Gewaesser,Hauptfluss,km_abfluss_hauptfluss_ab_muendung_hauptfluss
0,nordumfluter,spree,90.5
1,suedumfluter,spree,88.5
2,dahme_umflut_kanal,spree,41.05
3,priorgraben,spree,117.5
4,kleine_roeder_1,grosse_roeder,18.1
5,geisslitz,grosse_roeder,18.1
6,kleine_spree,spree,188.7
7,hammergraben_1,spree,109.5
8,waldgraben,spree,53.2
9,malschwitzer_kleine_spree,spree,197
