Date,granoer_hammer,guben_2,guben_sprucke
1990-01-01,,19.78007846005255,
1990-01-02,,19.929831443300053,
1990-01-03,,20.048904347486545,
1990-01-04,,20.140909778110455,
1990-01-05,,20.208991687114768,
1990-01-06,,20.25728874827045,
1990-01-07,,20.29095952478724,
1990-01-08,,20.31469356868449,
1990-01-09,,20.333196019418338,
1990-01-10,,20.2,
1990-01-11,,20.95,
1990-01-12,,20.86,
1990-01-13,,20.77,
1990-01-14,,20.68,
1990-01-15,,20.59,
1990-01-16,,20.5,
1990-01-17,,20.549999999999997,
1990-01-18,,20.6,
1990-01-19,,21.25,
1990-01-20,,21.299999999999997,
1990-01-21,,21.349999999999998,
1990-01-22,,21.4,
1990-01-23,,21.376923076923077,
1990-01-24,,21.353846153846153,
1990-01-25,,21.330769230769228,
1990-01-26,,21.307692307692307,
1990-01-27,,21.284615384615385,
1990-01-28,,20.96153846153846,
1990-01-29,,20.93846153846154,
1990-01-30,,20.915384615384617,
1990-01-31,,20.892307692307693,
1990-02-01,,20.869230769230768,
1990-02-02,,20.846153846153847,
1990-02-03,,20.823076923076925,
1990-02-04,,20.8,
1990-02-05,,20.62,
1990-02-06,,19.44,
1990-02-07,,19.259999999999998,
1990-02-08,,19.08,
1990-02-09,,18.9,
1990-02-10,,18.8,
1990-02-11,,19.05,
1990-02-12,,19.3,
1990-02-13,,19.55,
1990-02-14,,19.8,
1990-02-15,,21.5,
1990-02-16,,21.75,
1990-02-17,,22.0,
1990-02-18,,22.25,
1990-02-19,,22.5,
1990-02-20,,22.75,
1990-02-21,,22.674999999999997,
1990-02-22,,22.6,
1990-02-23,,22.525,
1990-02-24,,23.049999999999997,
1990-02-25,,22.974999999999998,
1990-02-26,,22.9,
1990-02-27,,22.9,
1990-02-28,,23.95,
1990-03-01,,25.316666666666666,
1990-03-02,,26.12222222222222,
1990-03-03,,26.927777777777777,
1990-03-04,,27.73333333333333,
1990-03-05,,35.78888888888889,
1990-03-06,,36.59444444444445,
1990-03-07,,37.4,
1990-03-08,,36.979166666666664,
1990-03-09,,36.55833333333334,
1990-03-10,,36.1375,
1990-03-11,,35.71666666666667,
1990-03-12,,35.295833333333334,
1990-03-13,,34.875,
1990-03-14,,27.804166666666667,
1990-03-15,,27.383333333333333,
1990-03-16,,26.9625,
1990-03-17,,26.541666666666668,
1990-03-18,,26.120833333333334,
1990-03-19,,25.7,
1990-03-20,,25.27916666666667,
1990-03-21,,24.25,
1990-03-22,,24.1,
1990-03-23,,19.6,
1990-03-24,,20.049999999999997,
1990-03-25,,19.725,
1990-03-26,,18.85,
1990-03-27,,18.7,
1990-03-28,,18.4625,
1990-03-29,,17.85,
1990-03-30,,17.5,
1990-03-31,,17.2,
1990-04-01,,16.1,
1990-04-02,,15.9,
1990-04-03,,15.8875,
1990-04-04,,15.7,
1990-04-05,,15.686666666666666,
1990-04-06,,15.673333333333332,
1990-04-07,,15.66,
1990-04-08,,15.646666666666667,
1990-04-09,,15.633333333333333,
1990-04-10,,16.02,
1990-04-11,,16.006666666666668,
1990-04-12,,15.993333333333332,
1990-04-13,,15.98,
1990-04-14,,15.966666666666667,
1990-04-15,,15.953333333333333,
1990-04-16,,15.940000000000001,
1990-04-17,,15.926666666666666,
1990-04-18,,15.913333333333334,
1990-04-19,,15.0,
1990-04-20,,14.899999999999999,
1990-04-21,,14.8,
1990-04-22,,14.7,
1990-04-23,,14.586956521739129,
1990-04-24,,14.47391304347826,
1990-04-25,,14.36086956521739,
1990-04-26,,14.247826086956522,
1990-04-27,,14.134782608695652,
1990-04-28,,13.621739130434783,
1990-04-29,,13.508695652173913,
1990-04-30,,13.395652173913042,
1990-05-01,,13.282608695652174,
1990-05-02,,13.169565217391305,
1990-05-03,,13.056521739130435,
1990-05-04,,12.943478260869565,
1990-05-05,,12.830434782608695,
1990-05-06,,12.717391304347826,
1990-05-07,,10.404347826086957,
1990-05-08,,10.291304347826086,
1990-05-09,,10.178260869565218,
1990-05-10,,10.065217391304348,
1990-05-11,,9.952173913043477,
1990-05-12,,9.839130434782609,
1990-05-13,,9.726086956521739,
1990-05-14,,9.61304347826087,
1990-05-15,,9.5,
1990-05-16,,9.9,
1990-05-17,,9.9,
1990-05-18,,9.9,
1990-05-19,,9.9,
1990-05-20,,9.9,
1990-05-21,,9.9,
1990-05-22,,9.9,
1990-05-23,,9.9,
1990-05-24,,9.9,
1990-05-25,,9.9,
1990-05-26,,9.9,
1990-05-27,,9.9,
1990-05-28,,9.9,
1990-05-29,,9.92,
1990-05-30,,9.940000000000001,
1990-05-31,,9.96,
1990-06-01,,9.98,
1990-06-02,,10.0,
1990-06-03,,10.341176470588234,
1990-06-04,,10.382352941176471,
1990-06-05,,10.423529411764706,
1990-06-06,,10.464705882352941,
1990-06-07,,10.505882352941176,
1990-06-08,,10.547058823529412,
1990-06-09,,10.588235294117647,
1990-06-10,,10.629411764705882,
1990-06-11,,10.670588235294119,
1990-06-12,,11.011764705882353,
1990-06-13,,11.052941176470588,
1990-06-14,,11.094117647058823,
1990-06-15,,11.135294117647058,
1990-06-16,,11.176470588235293,
1990-06-17,,11.21764705882353,
1990-06-18,,11.258823529411764,
1990-06-19,,11.3,
1990-06-20,,11.1,
1990-06-21,,11.211111111111112,
1990-06-22,,11.222222222222221,
1990-06-23,,11.233333333333334,
1990-06-24,,11.244444444444444,
1990-06-25,,11.255555555555556,
1990-06-26,,11.266666666666667,
1990-06-27,,11.277777777777779,
1990-06-28,,11.28888888888889,
1990-06-29,,11.3,
1990-06-30,,10.9,
1990-07-01,,10.9,
1990-07-02,,10.9,
1990-07-03,,10.9,
1990-07-04,,10.816666666666666,
1990-07-05,,10.733333333333334,
1990-07-06,,10.65,
1990-07-07,,10.5,
1990-07-08,,10.483333333333334,
1990-07-09,,10.2,
1990-07-10,,10.18,
1990-07-11,,10.16,
1990-07-12,,10.14,
1990-07-13,,10.120000000000001,
1990-07-14,,10.1,
1990-07-15,,10.08,
1990-07-16,,10.059999999999999,
1990-07-17,,10.04,
1990-07-18,,9.52,
1990-07-19,,9.5,
1990-07-20,,9.399999999999999,
1990-07-21,,9.3,
1990-07-22,,9.2,
1990-07-23,,9.1,
1990-07-24,,9.083333333333332,
1990-07-25,,9.066666666666666,
1990-07-26,,9.05,
1990-07-27,,8.533333333333333,
1990-07-28,,8.516666666666666,
1990-07-29,,8.5,
1990-07-30,,8.3,
1990-07-31,,8.255555555555556,
1990-08-01,,8.211111111111112,
1990-08-02,,8.166666666666668,
